osmid,rainfall_mm
584861197,0.0
174262809,0.0
168243072,0.0
481647797,0.0
747316014,0.0
641077183,0.0
75004336,0.0
173767699,0.0
786143563,0.0
536908973,0.0
536908976,0.0
536908970,0.0
481636177,0.0
536908976,0.0
1226724192,0.0
174886159,0.0
631876758,0.0
747347127,0.0
481642243,0.0
74721113,0.0
746829863,0.0
481643162,0.0
1125141703,0.0
632834646,0.0
747308779,0.0
448937474,0.0
652556226,0.0
512870228,0.0
448937473,0.0
640192073,0.0
746629321,0.0
75007266,0.0
634232014,0.0
75045388,0.0
634707177,0.0
74887695,0.0
536908833,0.0
594262559,0.0
75277195,0.0
594262549,0.0
445282911,0.0
481849635,0.0
632186760,0.0
539446919,0.0
594262585,0.0
635649511,0.0
482087297,0.0
594262531,0.0
75007264,0.0
651936076,0.0
481848525,0.0
315702587,0.0
539676360,0.0
481671866,0.0
445282908,0.0
594262561,0.0
594262573,0.0
632190657,0.0
481669049,0.0
481669050,0.0
75007265,0.0
173166849,0.0
660076545,0.0
594262581,0.0
636917920,0.0
480688672,0.0
789260421,0.0
709317345,0.0
75383227,0.0
22892484,0.0
173767651,0.0
155949886,0.0
173767649,0.0
173767664,0.0
173767650,0.0
173767665,0.0
482087298,0.0
641555744,0.0
594262582,0.0
75383697,0.0
481626377,0.0
22892485,0.0
75277131,0.0
75007279,0.0
644626278,0.0
538766101,0.0
633796584,0.0
22964462,0.0
75007285,0.0
634700289,0.0
75044400,0.0
533989672,0.0
634148810,0.0
74887698,0.0
740961041,0.0
633813476,0.0
22277789,0.0
538766137,0.0
173166880,0.0
173166855,0.0
512870212,0.0
640209014,0.0
635717252,0.0
22278541,0.0
479305360,0.0
633827050,0.0
46650000,0.0
